zip,state,value,latitude,longitude,county
12069,new york,0,42.945701,-74.263312,montgomery
12412,new york,0,42.001351,-74.2619,ulster
7746,new jersey,6750,40.316876,-74.26112,monmouth
10918,new york,450,41.35648,-74.26072,orange
7203,new jersey,250,40.653502,-74.26058,union
7456,new jersey,0,41.096095,-74.26012,passaic
7077,new jersey,0,40.553971,-74.25938,middlesex
8050,new jersey,1500,39.707575,-74.25933,ocean
7079,new jersey,19375,40.74765,-74.25881,essex
12945,new york,0,44.360566,-74.25801,franklin
10914,new york,300,41.464867,-74.255646,orange
7052,new jersey,19693,40.78865,-74.25541,essex
7036,new jersey,750,40.633953,-74.25339,union
8757,new jersey,0,39.975967,-74.25296,ocean
7470,new jersey,4050,40.943608,-74.25004,passaic
12495,new york,0,42.080232,-74.24801,ulster
12070,new york,1500,42.970827,-74.24778,montgomery
7064,new jersey,0,40.569504,-74.24774,middlesex
12461,new york,0,41.912356,-74.24724,ulster
12549,new york,0,41.520396,-74.24712,orange
12496,new york,0,42.326918,-74.24657,greene
10307,new york,5500,40.508274,-74.24387,richmond
10916,new york,0,41.451074,-74.24346,orange
7044,new jersey,250,40.832449,-74.24227,essex
12469,new york,0,42.442592,-74.24159,albany
12457,new york,0,42.038539,-74.23905,ulster
7747,new jersey,0,40.411102,-74.23767,monmouth
7721,new jersey,0,40.435961,-74.23734,middlesex
7436,new jersey,1400,41.028884,-74.23727,bergen
7050,new jersey,3500,40.7683,-74.23603,essex
12404,new york,35,41.811322,-74.23471,ulster
12117,new york,0,43.146907,-74.23466,fulton
12442,new york,0,42.222061,-74.23418,greene
7111,new jersey,735,40.725651,-74.23207,essex
12450,new york,0,42.157937,-74.23034,greene
8755,new jersey,2025,40.010092,-74.23032,ocean
7106,new jersey,250,40.742251,-74.23006,essex
7008,new jersey,2500,40.582504,-74.22997,middlesex
7009,new jersey,1500,40.855854,-74.22898,essex
7205,new jersey,50,40.695552,-74.22856,union
7208,new jersey,12145,40.673102,-74.22834,union
12439,new york,0,42.302596,-74.22711,greene
8758,new jersey,0,39.784513,-74.22376,ocean
7018,new jersey,580,40.75555,-74.21897,essex
7512,new jersey,1018,40.903348,-74.21763,passaic
7202,new jersey,1000,40.652302,-74.21692,union
12543,new york,0,41.484988,-74.2161,orange
7042,new jersey,32770,40.81315,-74.21576,essex
7424,new jersey,3779,40.886628,-74.21405,passaic
10309,new york,1500,40.529749,-74.21304,richmond
7112,new jersey,500,40.711651,-74.21303,essex
8731,new jersey,0,39.848035,-74.21297,ocean
10987,new york,43400,41.197123,-74.21069,orange
8701,new jersey,6000,40.082782,-74.2094,ocean
7417,new jersey,12200,41.010433,-74.20847,bergen
7731,new jersey,0,40.146597,-74.20815,monmouth
12481,new york,10600,41.974857,-74.20686,ulster
7017,new jersey,5183,40.770933,-74.20589,essex
7028,new jersey,5961,40.80495,-74.2047,essex
7043,new jersey,17100,40.844199,-74.20218,passaic
12422,new york,0,42.390291,-74.20164,greene
7108,new jersey,2856,40.722751,-74.2014,essex
8008,new jersey,0,39.614596,-74.2005,ocean
7201,new jersey,0,40.669502,-74.19889,union
